City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,borshchiv,48.8033,26.0435,13.03,89,100,12.68,UA,1704701603
234,kudahuvadhoo,2.6708,72.8944,82.2,73,88,8.77,MV,1704701604
235,mahina,-17.5065,-149.489,78.57,83,40,5.75,PF,1704701604
236,kerikeri,-35.2268,173.9474,62.06,86,1,4.74,NZ,1704701605
237,trujillo,-8.116,-79.03,69.76,88,100,4.61,PE,1704701487
238,nemuro,43.3236,145.575,28.9,67,23,11.39,JP,1704701328
239,nuuk,64.1835,-51.7216,23.61,93,100,23.02,GL,1704701607
240,at taj,24.2049,23.2857,63.77,26,21,8.12,LY,1704701608
241,kisangani,0.5167,25.2,87.94,49,98,0.74,CD,1704701609
242,losal,27.4,74.9167,70.39,26,0,5.55,IN,1704701610
243,ranau,5.9538,116.6641,82.47,64,96,4.38,MY,1704701610
244,micheweni,-4.9667,39.8333,84.02,74,52,11.41,TZ,1704701611
245,gomez farias,23.05,-99.15,62.94,88,59,4.45,MX,1704701612
246,north platte,41.1239,-100.7654,30.25,91,100,8.01,US,1704701613
247,taybad,34.74,60.7756,49.87,34,0,1.9,IR,1704701614
248,cariati,39.4922,16.9594,54.05,62,100,5.84,IT,1704701614
249,sao jose da coroa grande,-8.8978,-35.1478,76.1,87,1,7.27,BR,1704701615
250,lesogorsk,56.0458,99.5136,3.92,94,91,4.0,RU,1704701616
251,usinsk,65.9939,57.5281,-7.92,99,100,7.0,RU,1704701617
252,port lincoln,-34.7333,135.8667,64.74,70,0,14.05,AU,1704701617
253,andrijevica,42.7339,19.7919,36.82,94,100,4.92,ME,1704701618
254,remire-montjoly,4.9167,-52.2667,77.04,94,75,0.0,GF,1704701619
255,gorur,12.8194,76.0717,76.33,68,100,11.39,IN,1704701620
256,dali,25.7,100.1833,57.61,32,1,7.56,CN,1704701532
257,anadyr,64.75,177.4833,5.5,92,100,20.13,RU,1704701621
258,bukama,-9.2,25.85,71.56,97,100,1.92,CD,1704701622
259,la paz,-16.5,-68.15,49.57,66,40,5.01,BO,1704701623
260,santa cruz,-17.8,-63.1667,76.46,94,75,10.36,BO,1704701565
261,hilo,19.7297,-155.09,71.26,99,75,1.01,US,1704701624
262,lecheng,25.1238,113.3254,59.5,89,95,2.48,CN,1704701586
263,tucurui,-3.7661,-49.6725,73.38,98,100,3.06,BR,1704701626
264,puerto princesa,9.7392,118.7353,87.78,74,20,11.5,PH,1704701627
265,motueka,-41.1333,173.0167,62.62,83,73,2.26,NZ,1704701628
266,koya,34.2129,135.6224,34.72,74,81,2.42,JP,1704701362
267,port augusta,-32.5,137.7667,74.66,57,0,19.08,AU,1704701629
268,queenstown,-31.8976,26.8753,69.69,58,94,5.99,ZA,1704701630
269,richards bay,-28.783,32.0377,73.65,91,100,8.66,ZA,1704701631
270,mutsu,41.2894,141.2169,29.39,70,70,15.5,JP,1704701523
271,chibougamau,49.9168,-74.3659,8.22,85,100,3.44,CA,1704701633
272,puerto baquerizo moreno,-0.9,-89.6,75.47,87,100,9.28,EC,1704701634
273,haiku-pauwela,20.9219,-156.3051,72.25,87,40,8.05,US,1704701635
274,bom jesus,-9.0744,-44.3586,71.33,97,80,1.95,BR,1704701636
275,st. john's,47.5649,-52.7093,23.97,87,100,12.66,CA,1704701637
276,pawayan,28.0667,80.1,71.69,36,0,4.9,IN,1704701638
277,newman,37.3138,-121.0208,40.01,74,0,1.99,US,1704701639
278,sitka,57.0531,-135.33,40.89,65,100,14.97,US,1704701640
279,daoukro,7.0591,-3.9631,78.6,81,23,1.48,CI,1704701641
280,hitzacker,53.1525,11.0442,22.68,78,8,8.84,DE,1704701642
281,bellary,15.15,76.9333,82.94,49,80,14.18,IN,1704701642
282,tolanaro,-25.0319,46.9987,81.09,78,67,15.79,MG,1704701643
283,uray,60.1247,64.7758,-1.12,98,100,4.0,RU,1704701644
284,chonchi,-42.6128,-73.8092,43.12,82,58,1.88,CL,1704701645
285,ma'an,26.9775,110.7211,50.97,82,100,2.64,CN,1704701536
286,flying fish cove,-10.4217,105.6791,83.88,83,75,8.05,CX,1704701646
287,talakan,50.3167,130.3667,-5.89,96,100,1.5,RU,1704701647
288,avarua,-21.2078,-159.775,78.85,89,75,11.5,CK,1704701648
289,paranhos,-23.8928,-55.4311,74.77,57,0,4.32,BR,1704701649
290,gardnerville ranchos,38.8882,-119.7413,23.45,83,6,1.99,US,1704701649
